Time,AmountOfErrors
164,1,error_18
316,2,error_41-error_18
341,3,error_77-error_41-error_18
934,4,error_77-error_41-error_18-error_28
2725,5,error_77-error_41-error_18-error_28-error_59
2904,6,error_77-error_41-error_60-error_18-error_28-error_59
7532,7,error_77-error_41-error_73-error_60-error_18-error_28-error_59
11822,8,error_77-error_41-error_73-error_60-error_18-error_28-error_25-error_59
11860,9,error_77-error_41-error_73-error_4-error_60-error_18-error_28-error_25-error_59
11890,10,error_77-error_41-error_73-error_4-error_60-error_18-error_28-error_25-error_59-error_15
41857,11,error_77-error_41-error_73-error_4-error_60-error_18-error_27-error_28-error_25-error_59-error_15
70018,12,error_77-error_41-error_73-error_4-error_60-error_18-error_27-error_28-error_25-error_36-error_59-error_15
136026,13,error_76-error_77-error_41-error_73-error_4-error_60-error_18-error_27-error_28-error_25-error_36-error_59-error_15
171975,14,error_76-error_77-error_41-error_73-error_4-error_60-error_18-error_27-error_28-error_25-error_36-error_59-error_15-error_90
