Time,AmountOfErrors
16,1,error_91
21,2,error_62-error_91
48,3,error_0-error_62-error_91
117,4,error_0-error_62-error_82-error_91
169,5,error_0-error_62-error_95-error_82-error_91
172,6,error_0-error_62-error_95-error_82-error_91-error_48
255,7,error_0-error_62-error_95-error_82-error_91-error_48-error_26
261,8,error_0-error_62-error_95-error_82-error_60-error_91-error_48-error_26
277,9,error_0-error_74-error_62-error_95-error_82-error_60-error_91-error_48-error_26
392,10,error_0-error_74-error_62-error_95-error_82-error_60-error_91-error_9-error_48-error_26
397,11,error_0-error_74-error_94-error_62-error_95-error_82-error_60-error_91-error_9-error_48-error_26
432,12,error_0-error_74-error_94-error_62-error_95-error_82-error_60-error_93-error_91-error_9-error_48-error_26
438,13,error_0-error_74-error_94-error_62-error_95-error_82-error_60-error_93-error_48-error_26-error_24-error_91-error_9
1184,14,error_0-error_74-error_75-error_94-error_62-error_95-error_82-error_60-error_93-error_48-error_26-error_24-error_91-error_9
1803,15,error_0-error_74-error_75-error_42-error_94-error_62-error_95-error_82-error_60-error_93-error_48-error_26-error_24-error_91-error_9
2402,16,error_0-error_74-error_75-error_42-error_94-error_62-error_95-error_82-error_60-error_93-error_48-error_26-error_24-error_13-error_91-error_9
2546,17,error_0-error_74-error_52-error_75-error_42-error_94-error_62-error_95-error_82-error_60-error_93-error_48-error_26-error_24-error_13-error_91-error_9
4138,18,error_0-error_74-error_52-error_75-error_42-error_94-error_62-error_95-error_82-error_60-error_93-error_39-error_48-error_26-error_24-error_13-error_91-error_9
