Label,value
Total Branch Coverage,1349
Trace with Highest Branch Coverage,[J-B-K-I-J-O-H-G-K-J-B-M-K-A-D-E-G-F-D-M-R]
HBC,272
Trace with Lowest Branch Distance,[C-J-M-K-D-O-N-G-N-N-O-B-K-L-H-K-N-O-I-O-R]
LBC,962.3703
Error size,10
