Label,value
Total Branch Coverage,259
Trace with Highest Branch Coverage,[B-D-G-H-E-G-B-D-I-C-I-D-E-F-F-G-I-D-A-D-R]
HBC,184
Trace with Lowest Branch Distance,[B-F-G-G-G-G-C-A-G-F-J-B-B-C-G-G-G-G-H-D-R]
LBC,1017.77057
Error size,7
error_65,[F-C-E-H-D-C-G-B-D-C-F-E-I-D-E-A-H-I-A-B-R]
error_10,[A-J-H-E-H-G-F-D-A-C-J-I-J-D-B-F-D-G-B-H-R, I-F-G-C-E-G-D-A-D-C-H-C-I-D-F-B-F-G-B-G-R, E-D-C-B-G-C-D-A-C-I-D-E-F-E-B-F-G-D-B-B-R, H-A-F-J-E-G-D-A-I-C-C-I-B-E-D-G-F-G-D-B-R, A-E-B-H-G-H-D-C-E-I-D-A-I-F-F-G-B-E-D-C-R]
error_77,[F-E-J-G-E-A-J-I-D-C-F-C-A-G-E-A-E-I-C-C-R, E-H-G-E-J-E-E-G-C-A-F-D-G-A-E-H-I-J-C-F-R]
error_3,[E-G-D-C-A-F-J-J-E-I-D-B-F-H-G-B-I-A-E-F-R]
error_8,[E-E-G-A-J-D-H-C-D-I-B-I-A-F-J-C-C-C-J-C-R]
error_37,[G-B-B-G-B-H-E-G-C-D-C-I-D-C-G-H-E-G-C-E-R]
error_79,[E-D-C-G-H-D-C-H-B-E-I-D-F-H-B-E-B-G-E-I-R]
